product_link,title,category,price,discount,avg_rating,total_ratings,rank
https://www.flipkart.com/4bt-true-wireless-tws-bluetooth-earbuds/p/itmd9fb525871cbc,4BT True Wireless(TWS) Bluetooth Earbuds Bluetooth,earbuds,428,0.57,0.0,0,170
https://www.flipkart.com/aanya-enterprises-m10-earbuds-bluetooth/p/itmfa2b3eafd32c3,AANYA ENTERPRISES M10 Earbuds Bluetooth,earbuds,400,0.81,3.9,144,74
https://www.flipkart.com/aaradhyenterprises-galaxy-buds3-pro-silver-wireless-earbuds-bluetooth-gaming/p/itme5b1278630ddd,AaradhyEnterprises Galaxy Buds3 Pro| Silver| Wireless Earbuds Bluetooth Gaming,earbuds,724,0.79,2.7,11,68
https://www.flipkart.com/aarohi-cmf13-bluetooth-without-mic/p/itm20c18ba5ad90c,Aarohi CMF13 Bluetooth without Mic,earbuds,589,0.41,0.0,0,299
https://www.flipkart.com/abc-airpods-bluetooth/p/itm87ff81fd7bd3a,ABC Airpods Bluetooth,earbuds,264,0.83,3.4,11,322
https://www.flipkart.com/abc-earbuds-pro-black-bluetooth/p/itmb6d8ce1788a71,ABC Earbuds Pro Black Bluetooth,earbuds,248,0.64,4.5,4,46
https://www.flipkart.com/abc-white-airpouds-secend-gertaion-bluetooth/p/itm0b5cf62465062,ABC white airpouds secend gertaion Bluetooth,earbuds,258,0.63,0.0,0,245
https://www.flipkart.com/abhi-m4-airbuds-tws-earphone-hd-sound-bt-earbuds-mic-touch-controls-bluetooth/p/itm4cac355fa014b,abhi M4 Airbuds Tws | Earphone |HD Sound | BT Earbuds |Mic & Touch Controls Bluetooth,earbuds,336,0.81,3.5,78,485
https://www.flipkart.com/acwo-dwots-111-75h-playtime-spatial-audio-10mm-drivers-enc-bluetooth-without-mic/p/itmbc553a87dd0dc,"ACwO DwOTS 111 with 75H Playtime, Spatial Audio, 10mm Drivers, ENC Bluetooth without Mic",earbuds,998,0.75,3.7,63,348
https://www.flipkart.com/acwo-dwots-111-75h-playtime-spatial-audio-10mm-drivers-enc-bluetooth/p/itm573952c46dd3f,"ACwO DwOTS 111 with 75H Playtime, Spatial Audio, 10mm Drivers, ENC Bluetooth",earbuds,998,0.75,0.0,0,347
https://www.flipkart.com/acwo-dwots-111-75h-playtime-spatial-audio-10mm-drivers-enc-bluetooth/p/itm8cd447df0250d,"ACwO DwOTS 111 with 75H Playtime, Spatial Audio, 10mm Drivers, ENC Bluetooth",earbuds,998,0.75,3.7,63,278
https://www.flipkart.com/acwo-dwots-121-55h-battery-quad-mic-anc-10mm-drivers-bluetooth/p/itm4f71184f2d5ca,"ACwO DwOTS 121, 55H Battery, Quad Mic ANC, 10mm Drivers Bluetooth",earbuds,949,0.73,3.8,177,297
https://www.flipkart.com/acwo-dwots-121-55hrs-battery-quad-mic-enc-10mm-drivers-bt-v5-4-bluetooth/p/itm6ac4860fa7d19,"ACwO DwOTS 121, 55Hrs Battery,Quad Mic ENC, 10mm Drivers,BT V5.4 Bluetooth",earbuds,949,0.73,3.8,177,56
https://www.flipkart.com/acwo-dwots-121-bluetooth/p/itm9bde5b785847c,ACwO DwOTS 121 Bluetooth,earbuds,998,0.72,3.8,190,172
https://www.flipkart.com/acwo-dwots-313-65h-playtime-quad-mic-enc-13mm-drivers-dual-pairing-bluetooth/p/itm4b10e5d405c04,"ACwO DwOTS 313 with 65H Playtime, Quad Mic ENC, 13mm Drivers, Dual Pairing Bluetooth",earbuds,1299,0.74,3.5,166,349
https://www.flipkart.com/acwo-dwots-333-hybrid-anc-48db-120h-playtime-dual-pairing-10mm-drivers-bluetooth/p/itm0fcad674c78ae,"ACwO DwOTS 333 Hybrid ANC 48dB, 120H Playtime, Dual Pairing, 10mm Drivers Bluetooth",earbuds,1998,0.71,4.2,123,261
https://www.flipkart.com/acwo-dwots-333-hybrid-anc-48db-6-mics-ai-enc-earbuds-120h-playtime-dual-pairing-bluetooth/p/itm8a671eab84dba,"ACwO DwOTS 333 Hybrid ANC 48dB, 6 Mics AI-ENC Earbuds, 120H Playtime, Dual Pairing Bluetooth",earbuds,1998,0.71,4.2,123,46
https://www.flipkart.com/acwo-dwots-565-40ms-game-mode-55hrs-playtime-up-32db-anc-10mm-drivers-bluetooth-gaming/p/itm058d85c98856f,"ACwO DwOTS 565, 40ms Game Mode, 55Hrs Playtime, up to 32dB ANC, 10mm Drivers Bluetooth Gaming",earbuds,1599,0.73,4.5,23,160
https://www.flipkart.com/acwo-dwots-717-pro-up-32-db-anc-enc-40h-playtime-10mm-drivers-bluetooth/p/itm0fda78f379476,"ACwO DwOTS 717 Pro, up to 32 dB ANC, ENC, 40H Playtime, 10mm Drivers Bluetooth",earbuds,965,0.77,3.9,198,321
https://www.flipkart.com/acwo-dwots-757-anc-32-db-40h-playtime-10mm-drivers-low-latency-fast-charge-bluetooth/p/itm2973692b8df1b,"ACwO DwOTS 757 ANC 32 dB, 40H Playtime, 10mm Drivers, Low Latency, Fast Charge Bluetooth",earbuds,1271,0.71,4.1,180,206
https://www.flipkart.com/acwo-dwots-bliss-pro-65h-playtime-enc-10mm-drivers-eq-modes-low-latency-bluetooth/p/itmd166382734482,"ACwO DwOTS Bliss Pro, 65H Playtime, ENC, 10mm Drivers, EQ Modes, Low Latency Bluetooth",earbuds,998,0.79,3.9,178,279
https://www.flipkart.com/acwo-dwots-bold-smart-calling-display-earbuds-60hrs-playtime-anc-32db-13mm-driver-bluetooth/p/itme79cfed5ab2f6,"ACwO DwOTS Bold Smart Calling Display Earbuds, 60Hrs Playtime, ANC 32dB, 13mm Driver Bluetooth",earbuds,2498,0.78,3.9,69,479
https://www.flipkart.com/acwo-dwots-fire-anc-32-db-ai-enc-13mm-bass-boom-x-drivers-3-eq-modes-bluetooth/p/itm4432e9cf5227c,"ACwO DwOTS Fire ANC 32 dB, AI-ENC, 13mm Bass Boom X Drivers, 3 EQ Modes Bluetooth",earbuds,2503,0.77,3.7,108,35
https://www.flipkart.com/acwo-dwots-fire-anc-32-db-ai-enc-13mm-bass-boom-x-drivers-3-eq-modes-bluetooth/p/itmeba8052ecf8dd,"ACwO DwOTS Fire ANC 32 dB, AI-ENC, 13mm Bass Boom X Drivers, 3 EQ Modes Bluetooth",earbuds,2521,0.77,3.7,111,48
https://www.flipkart.com/acwo-dwots-flow-2-open-ear-wireless-earbuds-60h-playtime-ai-enc-dual-connectivity-bluetooth/p/itmf1d53abdb1d68,"ACwO DwOTS Flow 2 Open Ear Wireless Earbuds, 60H Playtime, AI ENC, Dual Connectivity Bluetooth",earbuds,2898,0.72,3.5,15,218
